pt,faers_a,faers_ror,faers_lcl,faers_signal,faers_trio,canada_a,canada_n_pt_all,canada_ror,canada_lcl,verdict
C-REACTIVE PROTEIN INCREASED,41,3.13760399027498,2.3079198309779,TRUE,TRUE,0,5427,,,insufficient (a=0)
DYSARTHRIA,41,3.31224338723386,2.43635011873502,TRUE,TRUE,1,2118,4.81224892463454,0.671695198656466,direction-consistent
GENERALISED TONIC-CLONIC SEIZURE,41,5.73182091290257,4.21540182022668,TRUE,TRUE,0,1629,,,insufficient (a=0)
EYE PAIN,40,1.89797616611546,1.39091922451202,TRUE,FALSE,1,3305,3.08021384645053,0.430008384776895,direction-consistent
PLATELET COUNT INCREASED,40,8.72130861941618,6.38836665957154,TRUE,TRUE,0,,,,insufficient (a=0)
PSYCHOTIC DISORDER,40,4.28460910228091,3.13943380831504,TRUE,TRUE,0,2598,,,insufficient (a=0)
RED BLOOD CELL COUNT DECREASED,40,3.80668496716239,2.78933889492373,TRUE,TRUE,0,2120,,,insufficient (a=0)
SCHIZOPHRENIA,40,8.69184457303345,6.36679705787041,TRUE,TRUE,0,,,,insufficient (a=0)
TREATMENT NONCOMPLIANCE,40,2.00943653270653,1.47259096282019,TRUE,TRUE,0,,,,insufficient (a=0)
APPLICATION SITE REACTION,39,20.0973860767585,14.6518365384758,TRUE,TRUE,1,1933,5.27389655361952,0.736099639598567,direction-consistent
BLISTER,39,1.85508115393021,1.3541425890206,TRUE,FALSE,0,3767,,,insufficient (a=0)
CHOLELITHIASIS,39,3.92436632681274,2.86423494839229,TRUE,TRUE,0,,,,insufficient (a=0)
CHRONIC OBSTRUCTIVE PULMONARY DISEASE,39,2.06779777655509,1.50939578750541,TRUE,TRUE,0,3176,,,insufficient (a=0)
LEUKOPENIA,39,2.23374395976002,1.63050996353186,TRUE,TRUE,0,3569,,,insufficient (a=0)
OXYGEN SATURATION DECREASED,39,1.84124914821885,1.34404701267743,TRUE,FALSE,0,7466,,,insufficient (a=0)
ANTICHOLINERGIC SYNDROME,38,64.2767384975798,46.5246173969452,TRUE,TRUE,2,96,219.075607902736,53.3368993326819,replicated
ASPIRATION,38,10.5437661893972,7.66044249819934,TRUE,TRUE,0,502,,,insufficient (a=0)
BLOOD TRIGLYCERIDES INCREASED,38,7.69576481004414,5.5923810921014,TRUE,TRUE,0,,,,insufficient (a=0)
HYPOPHAGIA,37,3.86867315710329,2.80009725788013,TRUE,TRUE,0,1631,,,insufficient (a=0)
PULMONARY OEDEMA,37,2.41760146440281,1.75001074278048,TRUE,TRUE,0,3461,,,insufficient (a=0)
VIRAL INFECTION,37,3.01587353489115,2.18298426483658,TRUE,TRUE,0,3388,,,insufficient (a=0)
ASPARTATE AMINOTRANSFERASE INCREASED,36,2.39540977030635,1.72627389128391,TRUE,TRUE,0,3783,,,insufficient (a=0)
NEUTROPHILIA,36,15.9686082199553,11.4966518899371,TRUE,TRUE,0,,,,insufficient (a=0)
HYPERGLYCAEMIA,35,2.93652908336171,2.10638630422807,TRUE,TRUE,0,2501,,,insufficient (a=0)
RASH ERYTHEMATOUS,35,2.03684649448826,1.46113610338858,TRUE,TRUE,1,9521,1.06323715326839,0.148460161396812,direction-consistent
RESPIRATORY DISTRESS,35,3.83974981666338,2.75408843197516,TRUE,TRUE,1,1502,6.79079433769817,0.947681967545904,direction-consistent
MENTAL STATUS CHANGES,34,3.94080045599734,2.8129265408354,TRUE,TRUE,0,257,,,insufficient (a=0)
PANCYTOPENIA,34,1.75843519824035,1.25536740549182,TRUE,FALSE,0,2075,,,insufficient (a=0)
BLOOD PRESSURE DECREASED,33,1.45361725034647,1.03255465860557,TRUE,FALSE,2,6482,3.16035052910053,0.780532319128611,direction-consistent
LIVER FUNCTION TEST ABNORMAL,33,4.10265555179287,2.91367505727775,TRUE,TRUE,0,,,,insufficient (a=0)
RESTLESSNESS,33,2.64923354678475,1.88167229389246,TRUE,TRUE,0,,,,insufficient (a=0)
ABNORMAL BEHAVIOUR,32,2.79023574863717,1.97135978919529,TRUE,TRUE,0,,,,insufficient (a=0)
AGGRESSION,32,2.12778974792057,1.50340429535607,TRUE,TRUE,1,3054,3.33417877091733,0.465451457894527,direction-consistent
ASCITES,32,3.13337975178751,2.21373989603198,TRUE,TRUE,0,1355,,,insufficient (a=0)
DEEP VEIN THROMBOSIS,32,1.55046983678363,1.09554353737125,TRUE,FALSE,0,,,,insufficient (a=0)
HAEMATOCHEZIA,32,1.52324971531453,1.07631237233299,TRUE,FALSE,0,9599,,,insufficient (a=0)
PANCREATITIS,32,1.94097381092317,1.37142789078326,TRUE,FALSE,2,3611,5.68865039781499,1.40472611404185,replicated
PRESCRIPTION DRUG USED WITHOUT A PRESCRIPTION,32,12.0180385374241,8.48499043097069,TRUE,TRUE,0,,,,insufficient (a=0)
RED CELL DISTRIBUTION WIDTH INCREASED,32,19.3274325129251,13.6379474700616,TRUE,TRUE,0,,,,insufficient (a=0)
CARDIO-RESPIRATORY ARREST,31,2.41916665208903,1.69980437501178,TRUE,TRUE,0,,,,insufficient (a=0)
FLUID RETENTION,31,1.5981301093952,1.12298279013582,TRUE,FALSE,0,,,,insufficient (a=0)
BLOOD POTASSIUM DECREASED,30,2.9073841577739,2.03093097421769,TRUE,TRUE,0,,,,insufficient (a=0)
CARDIOMEGALY,30,9.1637464876514,6.39809275499058,TRUE,TRUE,0,,,,insufficient (a=0)
CELLULITIS,30,1.65165028004423,1.15386256492666,TRUE,FALSE,0,7152,,,insufficient (a=0)
CYTOKINE RELEASE SYNDROME,30,3.62224951299491,2.53015130505793,TRUE,TRUE,0,342,,,insufficient (a=0)
DIPLOPIA,30,3.39776635399422,2.37339143361795,TRUE,TRUE,0,,,,insufficient (a=0)
"HALLUCINATION, VISUAL",30,4.18320213726328,2.92184834051847,TRUE,TRUE,1,1354,7.53458391381983,1.05140598229378,replicated
NEPHROLITHIASIS,30,1.74897781543525,1.22184730973003,TRUE,FALSE,2,5126,4.0014218802275,0.988201749422547,direction-consistent
COMA,29,1.84392810976047,1.28032578217118,TRUE,FALSE,1,1643,6.20690287044722,0.866245960440813,direction-consistent
DRUG ADMINISTERED TO PATIENT OF INAPPROPRIATE AGE,29,9.23336417138968,6.40734015274882,TRUE,TRUE,0,,,,insufficient (a=0)
HEAD INJURY,29,2.54907050643104,1.76983854889966,TRUE,TRUE,0,,,,insufficient (a=0)
SEDATION,29,3.13650687471175,2.1775967950087,TRUE,TRUE,0,,,,insufficient (a=0)
